FREQ_A,FREQ_R,FREQ_N,FREQ_D,FREQ_C,FREQ_Q,FREQ_E,FREQ_G,FREQ_H,FREQ_I,FREQ_L,FREQ_K,FREQ_M,FREQ_F,FREQ_P,FREQ_S,FREQ_T,FREQ_W,FREQ_Y,FREQ_V
0.0883,0.0523,0.0307,0.0484,0.0166,0.0266,0.0522,0.1003,0.0216,0.0731,0.0931,0.0422,0.0311,0.0464,0.0433,0.0509,0.0560,0.0101,0.0334,0.0833
0.148481440,0.017904012,0.034776903,0.041057368,0.002999625,0.013404574,0.025496813,0.116891639,0.001499813,0.083333333,0.143888264,0.007311586,0.022778403,0.048743907,0.016310461,0.076490439,0.078740157,0.007499063,0.011811024,0.100581177
0.0931,0.0588,0.0354,0.0622,0.0145,0.0385,0.0682,0.0662,0.0237,0.0460,0.0923,0.0603,0.0263,0.0367,0.0457,0.0667,0.0537,0.0097,0.0282,0.0738
0.127550577,0.023646204,0.033342016,0.072067379,0.002865330,0.042864172,0.042835229,0.091487945,0.017510347,0.046829325,0.075222135,0.081242222,0.029695233,0.038262279,0.020954531,0.059679893,0.067725970,0.015889555,0.041706463,0.068623195
0.053415454,0.054087346,0.039977604,0.044008959,0.021052632,0.041097424,0.058678611,0.060134378,0.024860022,0.053751400,0.092945129,0.070996641,0.013437850,0.039753639,0.059014558,0.070100784,0.065285554,0.006830907,0.039193729,0.091377380
0.080166166,0.066024395,0.029432561,0.050998763,0.014495316,0.036061517,0.058334806,0.065228920,0.023333923,0.042513700,0.128778505,0.042690472,0.026339049,0.050203288,0.053473573,0.061605091,0.047640092,0.013081138,0.027753226,0.081845501
0.117587669,0.024298311,0.043817729,0.067375648,0.006798142,0.041529245,0.041192704,0.089856633,0.019317493,0.029279128,0.055462072,0.046577371,0.017567477,0.035471495,0.055462072,0.077673824,0.069866056,0.039644612,0.074106482,0.047115838
0.089502954,0.064824470,0.040841154,0.025026069,0.039450817,0.033889468,0.014598540,0.047271463,0.019464720,0.111226973,0.109315259,0.016162669,0.023635732,0.046750087,0.040493570,0.082725061,0.047792840,0.028154327,0.037017727,0.081856100
0.125033148,0.038716521,0.023203394,0.036064704,0.012463538,0.029832936,0.030628481,0.081145585,0.013789446,0.067223548,0.125165739,0.036462477,0.031821798,0.055688146,0.043357200,0.080747812,0.054362238,0.011667993,0.018562715,0.084062583
0.146905313,0.061241322,0.020742036,0.054557093,0.017775371,0.032300950,0.057929982,0.086377961,0.022551578,0.032424048,0.102614604,0.029691270,0.019720321,0.032854892,0.063235511,0.063026245,0.042838151,0.016384362,0.018415481,0.078413511
0.0943,0.0481,0.0412,0.0649,0.0014,0.0414,0.0651,0.0748,0.0201,0.0685,0.0915,0.0601,0.0250,0.0375,0.0363,0.0523,0.0604,0.0067,0.0308,0.0795
0.1095,0.0310,0.0225,0.0187,0.0147,0.0176,0.0182,0.0921,0.0124,0.0782,0.1350,0.0127,0.0327,0.0704,0.0543,0.0387,0.0534,0.0428,0.0464,0.0989
0.110638830,0.083260408,0.023377922,0.079259907,0.014001750,0.023502938,0.040755094,0.068383548,0.040755094,0.042630329,0.107888486,0.022877860,0.019127391,0.041505188,0.082885361,0.033379172,0.041380173,0.018377297,0.023627953,0.082385298
0.095072338,0.056020885,0.041009464,0.058087675,0.010116393,0.044707930,0.034917872,0.065158273,0.016643098,0.060372022,0.090829979,0.021755684,0.012291961,0.057870119,0.066246057,0.065267051,0.074513217,0.015772871,0.030893071,0.082454041
0.0828,0.0406,0.0529,0.0456,0.0127,0.0491,0.0412,0.0690,0.0201,0.0558,0.0655,0.0316,0.0265,0.0430,0.0642,0.0752,0.0948,0.0167,0.0431,0.0695
0.080541927,0.047146001,0.042885699,0.057705898,0.015809558,0.032184465,0.072324187,0.072808771,0.022896602,0.062006582,0.088618329,0.077896905,0.023744624,0.038504250,0.041391564,0.052637955,0.051991843,0.010701234,0.034890060,0.073313546
0.109157701,0.015612700,0.053332459,0.076554710,0.010627132,0.035358174,0.039162949,0.105287326,0.010167935,0.039097350,0.056350039,0.044017318,0.021975859,0.031356599,0.048215691,0.065861978,0.089018630,0.023681448,0.043623721,0.081540278
0.076187983,0.035868569,0.030108653,0.016101584,0.039926692,0.019897892,0.024479644,0.052101060,0.012828904,0.095954968,0.132870795,0.042544836,0.025003273,0.079067941,0.043330279,0.071082602,0.068464459,0.014007069,0.031810446,0.088362351
0.165357586,0.048780488,0.045473336,0.045886730,0E-9,0.078131459,0.107069037,0.050847458,0.009094667,0.073997520,0.056634973,0.034725093,0.020256304,0.013228607,0.000413394,0.093013642,0.073584126,0E-9,0.000826788,0.082678793
0.0797,0.0232,0.0315,0.0232,0.0047,0.0172,0.0149,0.0955,0.0296,0.0822,0.1201,0.0163,0.0525,0.0926,0.0461,0.0611,0.0578,0.0306,0.0437,0.0774
0.097554039,0.030147895,0.034698521,0.023321957,0.010238908,0.021331058,0.029863481,0.110352673,0.027303754,0.071672355,0.109783845,0.011660978,0.028441411,0.088737201,0.045790671,0.050910125,0.052047782,0.057451650,0.040102389,0.058589306
0.047390013,0.050926581,0.060970434,0.047107087,0.017399915,0.041165653,0.057999717,0.051775357,0.027160843,0.071297213,0.126326213,0.085160560,0.027160843,0.040882727,0.034375442,0.058141180,0.051775357,0.017399915,0.033951054,0.051633894
0.069412196,0.029940120,0.033850666,0.025174142,0.028473665,0.022485641,0.032750825,0.083710131,0.010998411,0.074422583,0.120249297,0.032995234,0.029206892,0.079066357,0.042527191,0.067701332,0.050714897,0.031895393,0.053281193,0.081143835
0.136170213,0.024530663,0.032290363,0.021276596,0.014017522,0.019023780,0.020275344,0.116145181,0.020775970,0.073341677,0.111889862,0.021026283,0.024030038,0.066583229,0.042302879,0.060325407,0.051063830,0.021276596,0.032790989,0.090863579
0.063977030,0.041964220,0.062210116,0.049841714,0.001177943,0.043878377,0.048516528,0.094750791,0.006920415,0.074873003,0.099536185,0.043878377,0.012810130,0.035043805,0.038872120,0.091658691,0.081867040,0.005742472,0.014208938,0.088272105
0.098976631,0.027569879,0.034137773,0.022682144,0.014204979,0.018939973,0.024438674,0.091568657,0.012066595,0.095845425,0.111959676,0.030930197,0.027188025,0.073545135,0.038643654,0.075454407,0.050786620,0.021842065,0.040629296,0.088590194
0.079014444,0.034664401,0.034154630,0.018181818,0.003228547,0.048258284,0.026338148,0.083092608,0.004587935,0.113508921,0.119286321,0.036193713,0.026847918,0.063041631,0.042650807,0.070348343,0.060322855,0.011554800,0.036363636,0.088360238
0.103280680,0.024503848,0.031996760,0.029971648,0.008505468,0.023288781,0.030376671,0.088092345,0.009315512,0.099635480,0.132037262,0.037464561,0.035439449,0.054475496,0.036046983,0.060955853,0.060145808,0.007087890,0.019036047,0.108343459
0.136924804,0.063411897,0.042087542,0.036756453,0.001683502,0.080246914,0.105499439,0.025533109,0.003928171,0.088383838,0.124579125,0.086700337,0.015151515,0.024691358,0.007575758,0.047699214,0.039562290,0.002244669,0.016554433,0.050785634
0.112767492,0.031738399,0.026689108,0.024044241,0.011781678,0.021880260,0.024525126,0.094734311,0.010819909,0.085837942,0.133926425,0.030055302,0.040394326,0.061072373,0.032459726,0.066602549,0.051214234,0.020918490,0.036547247,0.081990863
